text,sentiment
we took advanatage of the half price sushi deal on saturday so it was well worth it .,1
surprisingly nothing could be further from the truth .,1
"in the evening , this place attracted a well dressed , with it , ny crowd .",1
the food was well prepared and the service impecable .,1
i ' m going back .,1
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,1
i will be going back and heartily recommend it !,1
"it is terrific , as is the value .",1
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",1
"i am not a vegetarian but , almost all the dishes were great .",1
go hungry and enjoy .,1
"the service varys from day to day - sometimes they ' re very nice , and sometimes not .",-1
"the kitchen however , is almost always slow .",-1
if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,1
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,1
the lava cake dessert was incredible and i recommend it .,1
"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .",1
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",1
the pizza was delivered cold and the cheese was n ' t even fully melted !,-1
it looked like shredded cheese partly done - still in strips .,-1
this has got to be one of the most overrated restaurants in brooklyn .,-1
the pizza is overpriced and soggy .,-1
"a big disappointment , all around .",-1
i think i ' ve had some the best meals of my life at minnow .,1
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",1
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,1
worth the trip from manhattan .,1
best pastrami i ever had and great portion without being ridiculous .,1
my wife had the fried shrimp which are huge and loved it .,1
"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",1
this place is the most japanese it can ever get .,1
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",1
this place is worth an one - hour drive .,1
"i am so coming back here again , as much as i can .",1
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",1
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",1
decent wine at reasonable prices .,1
"our teenage kids love it , too .",1
"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .",1
this is by far my favorite place in the neighborhood .,1
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",1
i ' m partial to the gnocchi .,1
this place is incredibly tiny .,-1
they refuse to seat parties of 3 or more on weekends .,-1
the hostess is rude to the point of being offensive .,-1
the food was bland oily .,-1
i just do n ' t understand all the hype . . .,-1
"we have been to this place many times , and always have great food , wine , and service .",1
"we were worried we would have trouble getting in , but somehow managed to have a short wait .",1
as always we had a great glass of wine while we waited .,1
"when we sat , we got great and fast service .",1
the people that work there are always so friendly you forget you are in new york sometimes .,1
this is a fun restaurant to go to .,1
the pizza is yummy and i like the atmoshpere .,1
but the pizza is way to expensive .,-1
"a large is $ 20 , and toppings are about $ 3 each .",-1
i went there for lunch and it was not as good as i expected from the reviews i read .,-1
sauce was watery and the food did n ' t have much flavor .,-1
i do n ' t think i would go again .,-1
this place is great .,1
the waitress was very patient with us and the food is phenomenal !,1
"service was prompt , friendly and great .",1
great pizza and fantastic service .,1
"there was a small wait , but shorter than i expected .",1
located at the end of a magnificent block .,1
very cozy and warm inside . . . . .,1
i will be back !,1
this is the best sushi in new york city - hands down .,1
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",1
"with the great variety on the menu , i eat here often and never get bored .",1
it ' s all about the food ! !,1
first it took us a long time to find the place .,-1
"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .",-1
"those rolls were big , but not good and sashimi was n ' t fresh .",-1
"they were dry and disgusting , i did n ' t even finish my first piece .",-1
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,1
"try the crunchy tuna , it is to die for .",1
"try everything for that matter , it is all good .",1
i have been going there since it opened and i ca n ' t get enough .,1
first went here to enjoy their garden terrace .,1
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",1
"the steak tartare is a great bet , they fix it for you at the table .",1
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",1
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",1
"have recommended the place to friends , always gets good response .",1
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",1
i take all my nyc guests to vt ' s .,1
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",1
i ' ve been there three times and have always had wonderful experiences .,1
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,1
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,1
even after they overcharged me the last time i was there .,-1
it ' s delicious !,1
"took my mom for mother ' s day , and the maitre d ' was pretty rude .",-1
"told us to sit anywhere , and when we sat he said the table was reserved .",-1
stepped on my foot on the second time he reached over me to adjust lighting .,-1
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,-1
the drinks are always well made and wine selection is fairly priced .,1
try their chef ' s specials - - they are to die for .,1
"service is not exactly five star , but thats not really a big deal .",0
downstairs lounge is always a good attraction,1
the exotic food is beautifully presented and is a delight in delicious combinations .,1
it is also extremely well priced .,1
the staff is incredibly helpful and attentive .,1
the bar is very well stocked with interesting beers and well priced wines .,1
this is one of my favorite restaurants and it is not to be missed .,1
your friends will thank you for introducing them to this gem !,1
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .",-1
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",-1
"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",-1
such a disappointment . . .,-1
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",-1
i loved everythig about it - especially the shows and actors .,1
our server was very helpful and friendly .,1
the food was good too .,1
the tuna and wasabe potatoes are excellent .,1
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,1
"inside is a little cramped , but to be expected .",0
service was prompt and courteous .,1
this was a repeat visit and we ' ll definitely be back again .,1
"great service , great food .",1
prices are in line .,0
but too far east !,-1
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",1
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",-1
"also , because it is so thin , it gets cold very quickly and its not that filling .",-1
by far the best salad i have had in a fast food restaurant .,1
over 100 different choices to create your own .,1
a must try !,1
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",1
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",1
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",1
"with so many poor experiences to be had in the theater district , is truly an excellent find !",1
the staff is no nonsense .,1
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,1
worth visiting the 1st ave spot because it is the original store .,1
"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !",1
the sake menu should not be overlooked !,1
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",1
try the lobster teriyaki and the rose special roll .,1
"service was very good - prompt , attentive and non - intrusive .",1
wine list selection is good and wine - by - the - glass was generously filled to the top .,1
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",1
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",0
"seating is always prompt , though the restaurant does fill up in the evening .",1
"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",0
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",1
i have never been disappointed in the red eye .,1
"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .",1
it ' s simply the best meal in nyc .,1
you can not go wrong at the red eye grill .,1
"if we were to move from the upper east side , we would genuinely miss this restaurant .",1
the restaurant is cute but not upscale .,0
the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,1
i would highly recommend it .,1
it ' s one of our favorite places to eat in ny .,1
we had a great time at the jekyll and hyde pub last night .,1
after really enjoying ourselves at the bar we sat down at a table and had dinner .,1
the server was really cool and served us our food and drinks with a smile .,1
the place ' s decor and hidden bathrooms made for a good laugh .,1
i highly recommend visiting this restaurant and having dinner and drinks !,1
"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",1
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",1
the entertainment was great they have shows that go on through out the dinner .,1
you will not be disapointed at all .,1
we were not dissappointed in the least bit by this little gem .,1
the bagel was huge .,1
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,-1
i loved it and would highly recommend .,1
this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .,1
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,1
"other guests enjoyed pizza , santa fe chopped salad and fish and chips .",1
"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service .",1
all the staff is absolutely professional ! !,1
"( that is a must , but not every restaurant can do . . . )",1
"there ' s nice and quiet , small but enough for 6 ( or more ) .",1
this restaurant was way overhyped .,-1
my chow fun and chow see was really bland and oily .,-1
okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,-1
the scallion pancakes and fried dumplings were nothing out of the ordinary .,0
the service was the only thing good about this restaurant .,1
"it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .",-1
i definitely would n ' t go back .,-1
their pad penang is delicious and everything else is fantastic .,1
"great for a romantic evening , or a fun evening with friends . . .",1
i will be going back very soon .,1
keep up the good work .,1
it was wonderful .,1
"the salads are delicious , both refreshing and very spicy .",1
we had pam ' s special fried fish and it was amazing .,1
"great vibe , lots of people .",1
"i did n ' t complain , i liked the atmosphere so much .",1
on a hot day it was fabulous to stop in and enjoy lunch .,1
"ambience is so cute and quaint , good for business although we were there on vacation .",1
salads were fantastic .,1
although we were looking for regular lettuce and some walnuts the salads we got were great .,1
ingredients are organic which is a real plus for me .,1
we will be back .,1
the spicy tuna roll is huge and probably the best that i ' ve had at this price range .,1
the yellowtail was particularly good as well .,1
"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",-1
"in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town .",1
big wong gets big ups for a fine establishment .,1
"they have it all - - great price , food , and service .",1
the food is prepared quickly and efficiently .,1
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",1
the takeout is great too since they give high quality tupperware as well .,1
enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .,1
we both opted for a pasta dish and they were served timely and fresh .,1
"we concluded with tiramisu chocolate cake , both were delicious .",1
we ' d go back again,1
i recently went to this restaurant with some co - workers for lunch and had an amazing time .,1
"the staff was accomodating , the food was absolutely delicious and the place is lovely .",1
we even had a visit from the manager who wanted to make sure we were enjoying ourselves .,1
we all felt it was worth it .,1
sometimes i get good food and ok service .,1
it is not consistent .,-1
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,1
and where does patis go wrong ; no where .,1
"you are not eating haut cuisine with subtle hints of whatever but : cassuolet , steake fritte , tripe stew , etc ; simple stuff .",1
right off the l in brooklyn this is a nice cozy place with good pizza .,1
my friend got the mushroom pizza which tasted better .,1
the sangria was pretty tasty and good on a hot muggy day .,1
kind of a small place but i guess if they are not too busy might be able to fit a group or kids .,0
overall i would recommend it and go back again .,1
i started out with a bombay beer which was big enough for two .,1
mmmmm . . . it was delicious .,1
it ' s a nice place to relax and have conversation .,1
i ca n ' t wait to go back .,1
the food is authentic italian - delicious !,1
"pizza is terrific , as is homemade pasta .",1
"ambience is delightful , service impeccable .",1
service was also horrible and the ambience is not that great .,-1
do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,-1
i go and eat out at many different restaurants and this is one place you have go and try .,1
this is my first time writing a review for a restaurant because the food and service was excellent .,1
the filet mignon dish was superb !,1
i would defiantly come back here again as one of my top choices .,1
it ' s a small cute restaurant .,1
i absolutely love this place ! ! !,1
"i like the ambience , it ' s very dark and original .",1
the sushi is amazing ! ! !,1
and amazingly cheap .,1
very affordable and excellent ambient !,1
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .,-1
we were very disappointed .,-1
we wo n ' t go to this place again for a good meal .,-1
"however , i think this place is a good hang out spot .",1
my girlfriend and i stumbled onto this hopping place the other night and had a great time !,1
"they tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it .",1
check this place out !,1
highly recommended ! ! ! ! !,1
"first of all , this place is * not * romantic , as claimed by citysearch ' s editorial review .",-1
"either that , or the editor ' s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th .",-1
"the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .",-1
slightly above average wines start at $ 70 + with only one selection listed at $ 30 + .,-1
service is not what one would expect from a joint in this price category .,-1
"for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . .",-1
somehow working the italian charm with constant mille grazie does not constitute proper service .,-1
not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .,-1
fish was overdone .,-1
someone else recommended the dessert - we also left that .,-1
one of us actually liked the expresso - that ' s it .,1
"skip this restaurant , it ' s a big disappointment .",-1
myagi is one of my favorite restaurants in the city ; the place the negative reviews describe sound like they were somewhere else .,1
i ' ve never had bad service and the fish is fresh and delicious .,1
their tuna tartar appetizer is to die for .,1
"i come from a family of pizzeria owners , and i ' m almost ashamed to say that the pizza in fornino ' s blows my families receipies away .",1
the place is so cool and the service is prompt and curtious .,1
i highly recommend to anyone to give this place a try .,1
you will find yourself returning quite often .,1
a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .,1
no gimmicks here - - the food speaks for itself in its freshness and preparation .,1
the dining room is quietly elegant with no music to shout over - - how refreshing !,1
"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .",1
"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",1
the view is breathtaking the service is top notch . . . the ambiance is wonderful .,1
the staff offers impeccable service .,1
i had lobster bisque it has 2 oz . of maine lobster in it .,1
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .,1
it was divine melts in your mouth .,1
my boyfriend had prime rib it was good .,1
we did n ' t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .,1
it ' s cuz it ' s so good you need to taste it ! ! !,1
all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !,1
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .,1
if you like spicy food get the chicken vindaloo .,1
it ' s very spicy but not offensive .,1
we will definitely go back .,1
go to volare for 1st class service and terrific food .,1
the portions are large and the servers always surprise us with a different starter .,1
the wine list is excellent .,1
the food is amazing . . . especially if you get the chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,1
please be aware that it ' s cash or amex only !,0
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",-1
"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",-1
"the decor in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse .",0
problem is nothing at prune is particularly memorable .,-1
no plans to return anytime soon .,-1
this place is so much fun .,1
our family never expected such incredible entertainment in a restaurant .,1
our food was great too !,1
and really large portions .,1
the staff was the friendliest that have seen in new york .,1
if you want something really different than try jekyll and hyde .,1
it is a lot of fun with live entertainment and all kinds of disney type special effects .,1
the food was pretty tradional but it was hot and good with large portions .,1
i highly recommend it .,1
the place is a lot of fun .,1
my six year old loved it .,1
"the food however , is what one might expect .",-1
it is very overpriced and not very tasty .,-1
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,-1
service was slow had to wait to order and get food although not crowded .,-1
drinks way over priced .,-1
food was good not great not worth the wait or another visit,-1
great pizza for lunch place .,1
service was quick .,1
the pizza was great .,1
and it was quick which is very important .,1
have the iced tea .,1
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",1
delivery is fast too .,1
"great friendly service , fast seating , fast delivery , excellent sushi .",1
ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .,1
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",1
they have a huge selection of different cream cheeses and all of their salads are great .,1
the lox is always fresh too .,1
highly recommended to all !,1
not impressed with the food .,-1
prices too high for this cramped and unappealing resturant .,-1
zero ambiance to boot .,-1
i thought this place was totally overrated .,-1
everything we had was good or ok . . . . but definitely nothing great .,0
"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .",-1
this is the best shabu - shabu restaurant in the try - state area .,1
thius is a must for anyone who loves shabu - shabu .,1
"the atmosphere is nothing special , but it feels like a sushi establishment in tokyo .",1
the owner and staff are all japanese as well and that adds to the entire ambiance .,1
i must give it yon out of yon stars !,1
taxan delicious !,1
"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !",1
we were n ' t !,1
the prices were cheap compared to the quality of service and food .,1
"we liked it so much , that we will always make it a point to dine here when we visit new york .",1
the location and ambience is ok but the food is what makes up for it .,1
there is a lot of variety even for people who eat vegetarian like me .,1
try green curry with vegetables .,1
"the quantity is also very good , you will come out satisfied .",1
"the service is ok , some of the people did n ' t get what they asked for .",0
i was there on sat . for my birthday and we had an excellent time .,1
i had the best ravioli ever .,1
the wine the service was very good too .,1
moderate prices .,0
a little noise but i think that was because of our party !,0
this quaint and romantic trattoria is at the top of my manhattan restaurant list .,1
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",1
"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .",1
a guaranteeed delight !,1
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",1
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .",1
i pray it stays open forever .,1
"i found the food , service and value exceptional everytime i have been there .",1
i felt as though i were eating in paris .,1
the service was excellent - friendly and attentive .,1
the prices are wonderfully low .,1
very good wine choices .,1
who has room for cheesesticks with the best pizza in nyc !,1
get the pepperoni - yum - and a family style salad .,1
great staff .,1
always great service !,1
i go twice a month !,1
"the food is good , i ca n ' t lie .",1
the hostess and the waitress were incredibly rude and did everything they could to rush us out .,-1
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,-1
save yourself the time and trouble and skip this one !,-1
amma is nothing special .,0
i ate here a week ago and found most dishes average at best and too expensive .,-1
will not be back .,-1
this place is always packed .,0
"most importantly , food is excellent .",1
try the sea bass .,1
highly recommended .,1
first of all dal bukhara rocks .,1
i am happy i did the food was awsome .,1
and yes dal bukhara is so dam good and so are all the kababs .,1
but overall i give it a 10,1
10,1
haru on park s is simply disgusting .,-1
the fish was not fresh and the rice tasted old and stale .,-1
"quite frankly , this is some of the worst sushi i have ever tried .",-1
will never be back .,-1
honestly the worst sushi my husband and i had in our entire lives .,-1
not sure why this restaurant would be rated that highly .,-1
the all - u - can - eat sushi is definitely in very poor quality .,-1
wont come back again for sure !,-1
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",-1
the waitstaffs are nice though .,1
i have been to roth ' s twice and both times were very disappointing .,-1
"both times i was extremely dissappointed by the service , which was boarderline rude .",-1
they wouldnt even let me finish my glass of wine before offering another .,-1
much of the time it seems like they do not care about you .,-1
"the dinner was ok , nothing i would have again .",-1
this was a great surprise .,1
i look forward to eating here again,1
planet thai is great !,1
"we love the food , drinks , and atmosphere !",1
"try the pad thai , it ' s fabulous and their prices are so cheap !",1
"just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !",1
"they forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter .",-1
"also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .",1
"overall , not worth the money .",-1
chennai garden is my favorite indian restaurant in the city .,1
they have authentic indian at amazing prices .,1
this restaurant is vegetarian ; there are no meat dishes whatsoever .,-1
the seats are uncomfortable if you are sitting against the wall on wooden benches .,-1
it ' s a rather cramped and busy restaurant and it closes early .,-1
the food is tasty and portion sizes are appropriate .,1
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,1
not a great place for family or general dining .,-1
food is excellent .,1
fish is so very fresh .,1
waitstaff are very friendly .,1
love yuka .,1
mermaid inn is an overall good restaurant with really good seafood .,1
the lobster sandwich is good and the spaghetti with scallops and shrimp is great .,1
the service is good and ambience is good for a date or group outing .,1
the only fallback on this restaurant is the prices .,-1
we were very pleasantly surprised .,1
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",1
"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",1
truly the mark of an attentive waiter .,1
i highly recommend the restaurant based on our experience last night .,1
we ate at this thai place following the reviews but very unhappy with the foods .,-1
we thought that this place is using too much of msg cooking in the foods .,-1
"they do n ' t concern much of customer ' s health , just want to make money .",-1
please do n ' t fool us .,-1
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",1
the food is so cheap and the waiters are nice .,1
"of course , it is crowded but who cares .",0
authentic shanghai style and i can not recommend a better shanghai place in new york .,1
have frequented ' ino for several years and the food remains excellent .,1
cheese plate is a varied delight and great bargain at $ 10 .,1
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",1
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )",1
"be sure to try the seasonal , and always delicious , specials .",1
definitely a neighborhood favorite .,1
i loved this place ! !,1
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .,1
"the service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",-1
"the waitress , seems to be more concerned of looking good than actually waitressing .",-1
"after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",-1
"we did tip , i guess the model / waitress just wanted more and complained to the manager .",-1
pizza here is consistently good .,1
salads are a delicious way to begin the meal .,1
it is thick and slightly soggy .,-1
decor is charming .,1
service is average .,0
what a great place .,1
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",1
"i was n ' t thrilled to have to wait on line for thirty minutes , but i guess that ' s the price you pay for a popular place .",0
i would definitely recommend sea if you like thai cuisine !,1
i was here a few weeks back and we had the worst customer service experience at a restaurant ever .,-1
"a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",-1
"while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",-1
never again !,-1
i absolutely loved this place .,1
"excellent atmosphere , delicious dishes good and friendly service .",1
this is can became on e of the ny italian food fare institutions .,1
i think that it is absolutely brilliant and well runned business operation .,1
the wine list is also really nice .,1
i have been to casimir over 5 times and i have always had a great time there .,1
the food is great and reasonably priced .,1
"i have tried to make reservations , but both times , the hostess did n ' t have my name .",-1
"if the weather is nice , try to snag an outside table .",1
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .,1
"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .",1
"considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",1
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .,1
nice family owned traditional restaurant .,1
i was pleasantly surprised to find this gem in hoboken .,1
"i found the food to be outstanding , particulary the salmon dish i had .",1
"i also ordered the change mojito , which was out of this world .",1
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",0
"we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .",1
"overall , excellent restaurant !",1
the food was good .,1
the place was nice and calm .,1
but the service was a bit slow .,-1
the buffet had a nice selection .,1
the food was average or above including some surprising tasty dishes .,1
service was also very good .,1
i would go back .,1
i got an excellent piece of cheesecake and we had several other nice pastries .,1
my son and his girlfriend both wanted cheeseburgers and they were huge !,0
"but , they were too big for the bun .",-1
"consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .",-1
also they were $ 15 each !,-1
i had a huge pastrami sandwich on a roll .,0
it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !,-1
"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",-1
and the tom kha soup was pathetic .,-1
if you want good authentic thai this place is not the place to go .,-1
"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",1
"the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .",1
"conveniently located too , being right on bedford ave .",1
"the back garden sitting area is very pleasant , where you can see their personal herb garden .",1
we had the lobster sandwich and it was fantastic .,1
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .,1
we waited at the bar and had martinis that were just right .,1
love the food .,1
it ' s the only place you can get yummy authentic japanese comfort food .,1
